Id,Position,Player,Salary,Points
1,PG,Spencer Dinwiddie,7500,30.38555497
2,PF,Jarrett Allen,5500,18.67562955
3,C,DeAndre Jordan,5000,22.91632427
4,SF,Taurean Prince,4900,22.7512584
5,SF,Joe Harris,4900,22.58529944
6,SG,Caris LeVert,4800,12.87872521
7,SG,Garrett Temple,4200,19.55580177
8,PG,Chris Chiozza,3600,18.22503886
9,SF,Wilson Chandler,3600,17.22961406
10,SF,Dzanan Musa,3500,13.89616575
11,SG,Theo Pinson,3500,5.851256039
12,PF,Rodions Kurucs,3500,9.599263587
13,SG,Timothe Luwawu-Cabarrot,3500,10.32385163
14,PF,Nicolas Claxton,3500,3.021461187
15,PF,Jaren Jackson,7200,37.26395973
16,PG,Ja Morant,7000,26.31645598
17,C,Jonas Valanciunas,6700,39.61712534
18,SF,Jae Crowder,5400,27.6227139
19,SG,Dillon Brooks,4900,24.36137699
20,PF,Brandon Clarke,4800,20.53172054
21,PG,De'Anthony Melton,4300,24.67436473
22,PG,Tyus Jones,4000,20.82225304
23,SF,Solomon Hill,3500,8.556376677
24,SG,Kyle Anderson,3500,7.816049726
25,SG,Marko Guduric,3500,5.43023431
26,SG,Grayson Allen,3500,7.250055364
27,SF,Bruno Caboclo,3500,-0.1180350877
28,C,Karl-Anthony Towns,10200,0
29,SG,Andrew Wiggins,6900,38.08238973
30,PG,Shabazz Napier,6500,38.97306441
31,C,Gorgui Dieng,6000,39.9415939
32,PF,Robert Covington,5500,34.47502555
33,SF,Jarrett Culver,4700,33.43686363
34,PG,Jeff Teague,4500,16.15635128
35,PF,Naz Reid,4100,26.19538999
36,PG,Jordan McLaughlin,3700,15.72724605
37,SF,Josh Okogie,3600,15.4670652
38,SF,Kelan Martin,3600,15.60161128
39,SG,Treveon Graham,3500,19.11487314
40,PF,Noah Vonleh,3500,15.30297794
41,SF,Keita Bates-Diop,3500,14.68424449
42,PF,Jordan Bell,3500,3.623039384
43,PG,Jaylen Nowell,3500,4.796481211
44,PG,Chris Paul,6800,36.20873742
45,SG,Shai Gilgeous-Alexander,6500,37.66835896
46,C,Steven Adams,6500,43.36835807
47,SG,Dennis Schroder,6000,28.87415645
48,SF,Darius Bazley,3900,11.47735914
49,SG,Hamidou Diallo,3600,13.8263595
50,SG,Terrance Ferguson,3500,6.015218611
51,SF,Abdel Nader,3500,-5.062438955
52,PF,Mike Muscala,3500,5.704166667
53,SG,Deonte Burton,3500,0.06726587302
54,SG,Luguentz Dort,3500,3.982978677
